## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/mapped/Tumor_1000G_L001.sorted.bam --OUTPUT results/dedup/Tumor_1000G.dedup.bam --METRICS_FILE results/qc/dedup/Tumor_1000G.metrics.txt --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jan 08 03:59:32 CST 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	5517	80209028	104094	25253	1972	5969243	0	0.074431	511804615

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	68695733	68695733
2.0	1.854945	5154889	5154889
3.0	2.585876	357425	357425
4.0	3.210782	28276	28276
5.0	3.745042	2885	2885
6.0	4.201805	447	447
7.0	4.592313	83	83
8.0	4.926175	28	28
9.0	5.211609	6	6
10.0	5.45564	4	4
11.0	5.664272	2	2
12.0	5.842641	1	1
13.0	5.995137	0	0
14.0	6.125513	0	0
15.0	6.236977	1	1
16.0	6.332273	2	2
17.0	6.413746	3	3
18.0	6.4834	0	0
19.0	6.542951	0	0
20.0	6.593864	0	0
21.0	6.637391	0	0
22.0	6.674605	0	0
23.0	6.70642	0	0
24.0	6.733621	0	0
25.0	6.756876	0	0
26.0	6.776758	0	0
27.0	6.793756	0	0
28.0	6.808288	0	0
29.0	6.820712	0	0
30.0	6.831334	0	0
31.0	6.840415	0	0
32.0	6.848179	0	0
33.0	6.854817	0	0
34.0	6.860492	0	0
35.0	6.865344	0	0
36.0	6.869492	0	0
37.0	6.873038	0	0
38.0	6.87607	0	0
39.0	6.878662	0	0
40.0	6.880878	0	0
41.0	6.882773	0	0
42.0	6.884393	0	0
43.0	6.885778	0	0
44.0	6.886962	0	0
45.0	6.887974	0	0
46.0	6.888839	0	0
47.0	6.889579	0	0
48.0	6.890212	0	0
49.0	6.890752	0	0
50.0	6.891215	0	0
51.0	6.89161	0	0
52.0	6.891948	0	0
53.0	6.892237	0	0
54.0	6.892484	0	0
55.0	6.892695	0	0
56.0	6.892876	0	0
57.0	6.89303	0	0
58.0	6.893162	0	0
59.0	6.893275	0	0
60.0	6.893371	0	0
61.0	6.893454	0	0
62.0	6.893524	0	0
63.0	6.893585	0	0
64.0	6.893636	0	0
65.0	6.89368	0	0
66.0	6.893718	0	0
67.0	6.89375	0	0
68.0	6.893778	0	0
69.0	6.893801	0	0
70.0	6.893821	0	0
71.0	6.893838	0	0
72.0	6.893853	0	0
73.0	6.893866	0	0
74.0	6.893877	0	0
75.0	6.893886	0	0
76.0	6.893894	0	0
77.0	6.8939	0	0
78.0	6.893906	0	0
79.0	6.893911	0	0
80.0	6.893915	0	0
81.0	6.893919	0	0
82.0	6.893922	0	0
83.0	6.893924	0	0
84.0	6.893927	0	0
85.0	6.893929	0	0
86.0	6.89393	0	0
87.0	6.893932	0	0
88.0	6.893933	0	0
89.0	6.893934	0	0
90.0	6.893935	0	0
91.0	6.893935	0	0
92.0	6.893936	0	0
93.0	6.893937	0	0
94.0	6.893937	0	0
95.0	6.893938	0	0
96.0	6.893938	0	0
97.0	6.893938	0	0
98.0	6.893938	0	0
99.0	6.893939	0	0
100.0	6.893939	0	0

